acid,epoxide,tg_pred,pca1,pca2
CCOCCN(CCCOCC(=O)O)CCN(C)CCCOCC(=O)O,CCCOCCOCC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,248.0260,4.2154,2.0566
CCOCCCN(CCOCC(=O)O)CCOCC(=O)O,CCOc1ccc(CCN(CCCOCC2CO2)CCOCC2CO2)cc1,247.9682,4.0714,2.4367
CCN(CCCN(CCOCC(=O)O)CCOCC(=O)O)CCN1CCCCC1,c1cc(CNCCc2ccccc2OCC2CO2)cc(OCCCOCC2CO2)c1,248.0445,3.5857,2.6278
CCCCN(CCOCCC(=O)O)CCC(=O)O,COCCOc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,247.9489,3.6175,1.2443
COCCCN(CCCOCC(=O)O)CC(=O)NCCOCC(=O)O,COCCc1cccc(COCCN(CCCOCC2CO2)CCOCC2CO2)c1,248.0567,3.6934,3.0612
O=C(O)CCN(CCCOCC(=O)O)CCNC(=O)CCOCc1ccccc1,CCOCc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,247.9140,3.8062,1.6361
COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCCCN(CCOCC1CO1)Cc1ccccc1COCC1CO1,248.1082,3.9481,1.9395
O=C(O)CCN(CCCOCC(=O)O)CCNC(=O)CCOCC1CCC1,CCOCc1ccccc1CN(CCOCC1CO1)CC1CO1,248.1442,3.8342,1.6322
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,OCCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,248.1787,4.2208,2.2972
COCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,247.7684,3.3925,2.2876
CCCCN(CCCOCC(=O)O)CCOCCOCC(=O)O,CCCCN(CCCOCC1CO1)CC(=O)NCc1ccccc1OCCOCC1CO1,248.2603,4.3145,3.5134
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1cc(CN(CCOCC2CO2)CCOCC2CO2)ccc1OCCc1ccccc1,248.2805,3.3547,2.4153
CC(C)CCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOc1cccc(CN(CCOCC2CO2)CCc2ccccc2OCC2CO2)c1,248.2991,4.9382,1.2064
CCN(CCCOCC(=O)O)C(=O)CCN(C)CCOCC(=O)O,CCOCCCN(CCOCC1CO1)CCOCC1CO1,248.3553,3.5598,2.0382
CC(C)CN(CCCOCC(=O)O)CCCOCC(=O)O,COCCCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,247.6433,4.0250,2.0915
O=C(O)CCOCCN(CCNCCCCOCC(=O)O)CCc1ccccc1,O=C(CCN(CCOCC1CO1)CCOCC1CO1)NCC1CCCCC1,248.3618,4.3917,1.4604
CC(C)COCCN(CCOCCC(=O)O)CCC(=O)O,CC(C)CN(CCOCC1CO1)CCOCC1CO1,248.4506,4.2791,1.7863
CCCOC(CC)CN(CCOCCC(=O)O)CCC(=O)O,N#CCCOc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,248.4607,4.0067,2.7780
O=C(O)COCCCCN(CCCOCc1ccccc1)CCOCC(=O)O,COc1c(COCCC2CO2)cccc1OCCCN(C)CC1CO1,247.5062,5.1605,1.5808
COCCCOCCC(=O)N(CCC(=O)O)CCC(=O)O,CCCOCCCN(CCOCC1CO1)CCOCC1CO1,247.4957,4.5262,2.2974
COCCCN(CCCOCC(=O)O)CCCOCC(=O)O,COCCN(CCCOCC1CO1)Cc1cccc(COCC2CO2)c1,248.5749,4.0407,1.5897
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,CCOCc1ccccc1CN(CCOCC1CO1)CCOCC1CO1,248.6163,3.6915,1.1041
CC(C)COCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCCOc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,247.3280,4.0669,2.0233
O=C(O)CCCOCCN(CCCOCC(=O)O)CCOCc1ccccc1,CC(C)CN(CCOCC1CO1)Cc1cccc(COCC2CO2)c1,248.7339,3.9196,1.4408
CCCOCCCN(CCOCC(=O)O)CCOCC(=O)O,CC(CCN(CCCOCC1CO1)CCOCC1CO1)NCc1ccccc1,247.2470,4.1900,2.1255
CCC(CCN(CCOCC(=O)O)Cc1ccccc1)OCCCOCC(=O)O,CC(C)COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,248.7680,3.4422,2.3914
CC(C)NCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCOCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,247.2259,3.1193,2.2900
O=C(O)CCOCCN(CCNCCCCOCC(=O)O)CCc1ccccc1,O=C(CCN(CCOCC1CO1)CCOCC1CO1)NCCc1ccccc1,248.8068,4.3651,1.5116
CCC(C)OCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)COc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,247.1752,3.7013,2.1131
CCOCCN(CCOCC(=O)O)C(=O)CCN(CCOCC(=O)O)CCc1ccccc1,CCOC(=O)CCCN(CCOCC1CO1)CCOCC1CO1,247.1312,3.0884,1.7725
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)CCOCc1cc(COCC2CO2)cc(COCC2CO2)c1,247.1270,3.3070,3.2706
CCOCCCOCCCN(CCC(=O)O)CCC(=O)O,O=C(CCCOCC1CO1)NCCCN(CCOCC1CO1)Cc1ccccc1,248.9386,5.0886,2.5472
CCOCCCN(CCOCC(=O)O)CCOCC(=O)O,COCCCOCCCN(CC1CO1)CC1CO1,247.0016,3.7772,2.8039
COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,249.0849,3.1524,2.3147
CC(C)COCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,249.0852,4.1960,2.2680
CCOCCCN(CCOCC(=O)O)CCN(CCOCC(=O)O)C(=O)Cc1ccccc1,CCOCc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OCCc1ccccc1,249.0998,3.4703,2.9964
CN(CCCOCC(=O)O)CCOCCOCC(=O)O,COCCOCCCN(CC1CO1)CC1CO1,246.8920,3.2688,2.9264
CC(C)COCCCN(CCCOCC(=O)O)CCOCC(=O)O,CCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,246.8753,4.6546,1.2064
CCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CCOCC2CO2)cc1OCCCN(C)Cc1ccc(OCCOCC2CO2)cc1,249.1849,3.8223,2.3257
COCCCCN(CCCOCC(=O)O)CCOCC(=O)O,CC(C)COCCCN(CC1CO1)CC1CO1,249.2343,5.1247,1.7736
CCOCCN(CCOCCOCC(=O)O)CCOCC(=O)O,COCCCOCc1cccc(C(=O)N(CCCOCC2CO2)CCOCC2CO2)c1,249.2982,3.3754,3.2924
COCCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCN(CCOCC1CO1)Cc1cccc(COCC2CO2)c1,246.6858,3.9167,2.1696
CC(C)CCOCCN(CCCOCC(=O)O)CCOCC(=O)O,COCCCOCCN(CC1CO1)CC1CO1,246.6750,4.1433,1.7002
CCC(CCN(CCOCC(=O)O)Cc1ccccc1)OCCCOCC(=O)O,COCCOCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,246.6454,3.4068,2.3237
CCCCN(CCCOCC(=O)O)CCN(C)C(=O)CCOCC(=O)O,CC(C)(COCCOCC1CO1)NCc1ccc(OCCOCC2CO2)cc1,249.3860,3.2315,1.6871
CCCCN(CCCOCC(=O)O)CCCOCC(=O)O,CCOCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,246.5142,4.4618,0.9720
CC(C)COCCN(CCOCCOCC(=O)O)CCOCC(=O)O,CC(C)CN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,249.5124,4.3580,1.8235
COCCOCCCN(CCCOCC(=O)O)CCOCC(=O)O,c1ccc(C(CCOCC2CO2)NCCCOCC2CO2)cc1,249.5159,4.0237,2.3510
O=C(O)CCN(CCCOCC(=O)O)CC(=O)NCCCOCCN1CCOCC1,CCOCc1ccccc1CN(CCCOCC1CO1)CCOCC1CO1,246.4653,3.8307,1.6485
CC(C)(C)OCCCN(CCOCC(=O)O)CCOCC(=O)O,CC(C)OCCCN(CCOCC1CO1)CCOCC1CO1,246.4581,3.8687,1.7495
