acid,epoxide,pca1,pca2,dist,tg
O=C(O)CCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.6198,-0.9967,0.0000,348.4995
O=C(O)CCCCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.6983,-1.3560,2.6873,334.8484
O=C(O)CCCCCOC(=O)CC1(CC(=O)O)CCCCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.1581,-1.1512,3.4070,340.8781
O=C(O)CCCCC(=O)C(C(=O)O)C1CCCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.8211,-1.1401,3.7181,352.8846
O=C(O)CCCOCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.1858,-0.4232,4.3320,350.0755
O=C(O)CCC1(CCC(=O)O)CCOCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.4538,-1.2296,4.3756,363.9958
COc1ccc(CC(CC(=O)O)C(=O)O)cc1C,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.6558,-0.5837,4.4338,351.7716
O=C(O)CCCCCCOC(=O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,4.4161,-1.5617,4.5752,321.9481
O=C(O)CCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.6297,-0.7296,4.6173,358.5133
O=C(O)CCCOCCCOC(=O)COCCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3.0457,-0.9635,4.6435,323.5822
NC(CCC(=O)O)CCC(=O)O,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.3967,-0.8038,4.6617,337.7440
O=C(O)CCC(=O)c1ccnc(C(=O)O)c1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.0339,-1.0129,4.8548,379.1548
O=C(O)CCCCC1(C(=O)O)CCOCC1,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,2.5199,-1.1161,5.3856,360.1010
